nid,id,name,description,resource_markdown
14,UBERON:0001255,urinary bladder,distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001255](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001255).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001255&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
15,UBERON:0001293,outer medulla of kidney,The renal outer medulla is the region of the kidney that lies between the renal cortex and the renal inner medulla.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001293](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001293).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001293&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
16,UBERON:0001323,tibial nerve,"The tibial nerve is a branch of the sciatic nerve. The tibial nerve passes through the popliteal fossa to pass below the arch of soleus. In the popliteal fossa the nerve gives off branches to gastrocnemius, popliteus, soleus and plantaris muscles, an articular branch to the knee joint, and a cutaneous branch that will become the sural nerve. The sural nerve is joined by fibres from the common peroneal nerve and runs down the calf to supply the lateral side of the foot. Below the soleus muscle the nerve lies close to the tibia and supplies the tibialis posterior, the flexor digitorum longus and the flexor hallucis longus. The nerve passes into the foot running posterior to the medial malleolus. Here it is bound down by the flexor retinaculum in company with the posterior tibial artery..","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001323](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001323).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001323&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
17,UBERON:0001496,ascending aorta,"The ascending aorta is the portion of the aorta in a two-pass circulatory system that lies between the heart and the arch of aorta. A portion of the aorta commencing at the upper part of the base of the left ventricle, on a level with the lower border of the third costal cartilage behind the left half of the sternum; it passes obliquely upward, forward, and to the right, in the direction of the heart's axis, as high as the upper border of the second right costal cartilage, describing a slight curve in its course, and being situated, about 6 cm behind the posterior surface of the sternum. The total length is about 5 cm in length","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001496](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001496).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001496&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
18,UBERON:0001621,coronary artery,An artery that supplies the myocardium.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001621](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001621).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001621&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
19,UBERON:0001870,frontal cortex,"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001870](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001870).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001870&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
20,UBERON:0001873,caudate nucleus,"Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle. It is divided into a head, body and tail in some species.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001873](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001873).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001873&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
21,UBERON:0001874,putamen,"Subcortical nucleus of telencephalic , which together with the caudate nucleus, forms the striatum. The putamen lies lateral to the internal capsule and medial to the external medullary lamina, and is separated from the caudate nucleus by the fibers of the internal capsule for most of its length, except at its anterior portion.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001874](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001874).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001874&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
22,UBERON:0001876,amygdala,"Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species. It is usually subdivided into several groups. Functionally, it is not considered a unitary structure (MM).","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001876](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001876).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001876&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
23,UBERON:0001882,nucleus accumbens,"A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen. (caudoputamen in rodent) and continuous with these structures. There is no distinct boundary between the nucleus accumbens and the caudate/putamen, but in rodents, it can be identified by its lack of traversing fiber bundles in comparison to the dorsal striatum. Its principle neuron is the medium spiny neuron. Together with the neostriatum (caudate nucleus and putamen), the nucleus accumbens forms the striatum.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001882](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001882).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001882&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
24,UBERON:0001898,hypothalamus,A specialized brain region of the ventral diencephalon arising near the end of the segmentation period; the embryonic hypothalamic region will give rise to the posterior pituitary gland as well as a number of brain nuclei.. One of the most important functions of the hypothalamus is to link the nervous system to the endocrine system via the pituitary gland (hypophysis)..,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001898](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001898).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001898&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
25,UBERON:0001954,Ammon's horn,"A part of the brain consisting of a three layered cortex located in the forebrain bordering the medial surface of the lateral ventricle. The term hippocampus is often used synonymously with hippocampal formation which consists of the hippocampus proper or Cornu Ammonis, the dentate gyrus and the subiculum.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0001954](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001954).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0001954&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
26,UBERON:0002037,cerebellum,"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0002037](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002037).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0002037&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
27,UBERON:0002038,substantia nigra,"Predominantly gray matter midbrain structure lying dorsal to the crus cerebri and ventral to the midbrain tegmentum. It is divided into a dorsal, cellularly compact region known as the pars compacta and a more ventrally located, containing more loosely packed cells, the pars reticulata. The most lateral region of the reticulata is identified as the pars lateralis (MM).","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0002038](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002038).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0002038&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
28,UBERON:0002046,thyroid gland,"A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0002046](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002046).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0002046&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
29,UBERON:0002106,spleen,the organ that functions to filter blood and to store red corpuscles and platelets,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0002106](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002106).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0002106&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
30,UBERON:0002190,subcutaneous adipose tissue,"A portion of adipose tissue that is part of the hypodermis, beneath the dermis.",
31,UBERON:0002367,prostate gland,"The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0002367](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002367).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0002367&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
32,UBERON:0002369,adrenal gland,"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine.","
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0002369](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002369).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0002369&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
33,UBERON:0002371,bone marrow,the soft tissue that fills the cavities of bones,
34,UBERON:0003889,fallopian tube,Initial section of the oviduct through which the ova pass from the ovary to the uterus,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0003889](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003889).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0003889&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
35,UBERON:0004264,lower leg skin,A zone of skin that is part of a lower leg.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0004264](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004264).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0004264&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
36,UBERON:0004550,gastroesophageal sphincter,the thick circular layer of smooth gastric musculature encircling the gastroesophageal junction that functions to reduce backflow into the esophagus from the stomach,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0004550](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004550).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0004550&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
37,UBERON:0004648,esophagus muscularis mucosa,A muscularis mucosa that is part of a esophagus.,"
External links: Use the Ontology Lookup Service (OLS) from EMBL-EBI to learn more about [UBERON:0004648](https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004648).

::: iframe [**Expression data from GTEx:**](https://mii.podvis.org/cfde-ge1/#/anatomy?uberon_ids=UBERON%3A0004648&width=1400&height=550&numTopGenes=25){width=""1400"" height=""550"" style=""border: 1px solid black;"" caption-style=""font-size: 24px;"" caption-link=""https://gtexportal.org/home/api-docs/index.html#/expression"" caption-target=""_blank""} 
:::

"
