UNIPROT_AC	name	ENSEMBL_ID	GENE_NAME	DO_IDs
A0A096MJY1	A0A096MJY1	ENSRNOG00000046660	Gpc6	DOID:0060288
A0A096MJY4	MEF2C	ENSRNOG00000033134	Mef2c	DOID:0060041|DOID:0070050|DOID:1059|DOID:1824|DOID:5844
A0A096MJZ0	DNAL1	ENSRNOG00000042333	Dnal1	DOID:0110613
A0A096MK15	A0A096MK15	ENSRNOG00000006783	Neb	DOID:0110928
A0A096MK39	A0A096MK39	ENSRNOG00000015253	Hsf4	DOID:0110255|DOID:83
A0A096MK89	A0A096MK89	ENSRNOG00000016306	Adgrv1	DOID:0110839|DOID:0111305
A0A096MK92	A0A096MK92	ENSRNOG00000009278	Ift88	DOID:0110861|DOID:898
A0A096MKE9	A0A096MKE9	ENSRNOG00000021815	Lig3	DOID:1793
A0A096MKF8	A0A096MKF8	ENSRNOG00000003848	Med12	DOID:0060309|DOID:1470|DOID:14711|DOID:1967|DOID:591|DOID:9970
A0A096MKI3	A0A096MKI3	ENSRNOG00000043390	Samd12	DOID:0111690
A0A096UWG9	A0A096UWG9	ENSRNOG00000002338	Dgke	DOID:0080388
A0A0A0MY14	A0A0A0MY14	ENSRNOG00000046342	LOC100359503	DOID:0111894
A0A0A0MY24	A0A0A0MY24	ENSRNOG00000046301	Gzmbl3	DOID:0080600|DOID:2799|DOID:3083
A0A0B4J1F6	A0A0B4J1F6	ENSMUSG00000046974	BC053393	DOID:10825|DOID:11111|DOID:12556|DOID:1591|DOID:1920|DOID:2378|DOID:2841|DOID:2986|DOID:3021|DOID:3310|DOID:4450|DOID:557|DOID:9620
A0A0B4J1G0	FCG3A	ENSMUSG00000059089	Fcgr4	DOID:0050908|DOID:0060901|DOID:0111941|DOID:11832|DOID:1205|DOID:13241|DOID:13375|DOID:1389|DOID:1587|DOID:2377|DOID:2841|DOID:2921|DOID:2986|DOID:3393|DOID:4481|DOID:4780|DOID:526|DOID:552|DOID:614|DOID:633|DOID:7147|DOID:7148|DOID:848|DOID:8778|DOID:8924|DOID:9074
A0A0G2JDS2	A0A0G2JDS2	ENSMUSG00000043873	Chil5	DOID:0050127|DOID:2841
A0A0G2JSI4	A0A0G2JSI4	ENSRNOG00000004489	Adgre5	DOID:1554|DOID:1793
A0A0G2JSK1	A0A0G2JSK1	ENSRNOG00000010410	Serpina3c	DOID:11394|DOID:11949|DOID:1485|DOID:2945|DOID:3083|DOID:3910|DOID:865
A0A0G2JST1	A0A0G2JST1	ENSRNOG00000011411	Adgrg6	DOID:0060558
A0A0G2JSV3	A0A0G2JSV3	ENSRNOG00000056011	LOC314140	DOID:0050647|DOID:0110210|DOID:0111260|DOID:0111739|DOID:10584|DOID:13189
A0A0G2JSV6	A0A0G2JSV6	ENSRNOG00000047321	Hba-a2	DOID:0110031|DOID:0111363|DOID:0111631|DOID:1099
A0A0G2JT03	A0A0G2JT03	ENSRNOG00000047019	Bbip1	DOID:0110140
A0A0G2JT53	A0A0G2JT53	ENSRNOG00000016874	Zfp521	DOID:5419
A0A0G2JT63	A0A0G2JT63	ENSRNOG00000006557	Cyfip2	DOID:0080430
A0A0G2JT78	A0A0G2JT78	ENSRNOG00000009198	Rab6b	DOID:8466
A0A0G2JT82	A0A0G2JT82	ENSRNOG00000056580	En1	DOID:14330
A0A0G2JT90	A0A0G2JT90	ENSRNOG00000014875	Ash2l	DOID:5419
A0A0G2JTB2	A0A0G2JTB2	ENSRNOG00000051232	Gbe1	DOID:2750|DOID:2957
A0A0G2JTI7	A0A0G2JTI7	ENSRNOG00000025629	Prpf3	DOID:0110356|DOID:10584
A0A0G2JTM3	A0A0G2JTM3	ENSRNOG00000006867	Etv1	DOID:3312|DOID:9970
A0A0G2JTM7	A0A0G2JTM7	ENSRNOG00000014419	Brd7	DOID:0080199|DOID:2152|DOID:3068|DOID:3069|DOID:3070|DOID:3908|DOID:9119
A0A0G2JTM9	A0A0G2JTM9	ENSRNOG00000060107	Dnajb14	DOID:12858
A0A0G2JTN4	A0A0G2JTN4	ENSRNOG00000005193	Pfas	DOID:684
A0A0G2JTU1	A0A0G2JTU1	ENSRNOG00000030017	Ercc6	DOID:0060240|DOID:0110028|DOID:1324|DOID:224|DOID:2962|DOID:3525|DOID:4448|DOID:5426
A0A0G2JTU9	A0A0G2JTU9	ENSRNOG00000010591	Kdm5a	DOID:10283|DOID:1059|DOID:11383|DOID:1612|DOID:3908|DOID:5517|DOID:7147|DOID:986
A0A0G2JTY3	A0A0G2JTY3	ENSRNOG00000011361	Slc37a4	DOID:2749
A0A0G2JTZ2	SOX6	ENSRNOG00000020514	Sox6	DOID:10652|DOID:114|DOID:3070
A0A0G2JU05	A0A0G2JU05	ENSRNOG00000004834	Llgl2	DOID:162|DOID:305
A0A0G2JU25	A0A0G2JU25	ENSRNOG00000019143	Galnt2	DOID:0050571
A0A0G2JU33	A0A0G2JU33	ENSRNOG00000061603	Asxl1	DOID:0050908|DOID:0080188|DOID:4797|DOID:4971|DOID:9119
A0A0G2JU45	A0A0G2JU45	ENSRNOG00000007785	Trmt5	DOID:0060536|DOID:0111139|DOID:0111490|DOID:11984|DOID:12678|DOID:3650|DOID:3762|DOID:699
A0A0G2JUA5	A0A0G2JUA5	ENSRNOG00000057569	Ahnak	DOID:417
A0A0G2JUC9	A0A0G2JUC9	ENSRNOG00000013718	Herc2	DOID:0060308|DOID:10123
A0A0G2JUD0	A0A0G2JUD0	ENSRNOG00000004181	Sdccag8	DOID:0050576|DOID:0110138
A0A0G2JUG7	IQEC1	ENSRNOG00000060350	Iqsec1	DOID:0111674
A0A0G2JUH4	A0A0G2JUH4	ENSRNOG00000020318	Pnkp	DOID:0080457|DOID:0110179
A0A0G2JUJ3	A0A0G2JUJ3	ENSRNOG00000058856	Tslp	DOID:10459|DOID:1273
A0A0G2JUJ9	A0A0G2JUJ9	ENSRNOG00000000314	Sec63	DOID:0050770
A0A0G2JUM3	A0A0G2JUM3	ENSRNOG00000025428	Rp2	DOID:0110415|DOID:10584
A0A0G2JUM8	A0A0G2JUM8	ENSRNOG00000052701	Coa6	DOID:0080360
A0A0G2JUT7	A0A0G2JUT7	ENSRNOG00000061346	B3glct	DOID:0080201
A0A0G2JUV5	A0A0G2JUV5	ENSRNOG00000059401	Ccdc40	DOID:0110623
A0A0G2JUZ0	A0A0G2JUZ0	ENSRNOG00000002697	Mtmr1	DOID:0111225|DOID:423
A0A0G2JUZ5	A0A0G2JUZ5	ENSRNOG00000011599	Gldc	DOID:10534|DOID:9268
A0A0G2JV04	GGA3	ENSRNOG00000027057	Gga3	DOID:1289|DOID:3211
A0A0G2JV24	A0A0G2JV24	ENSRNOG00000045829	Thbs1	DOID:0080600|DOID:10283|DOID:11054|DOID:114|DOID:1793|DOID:3587|DOID:4947|DOID:5844|DOID:8947|DOID:9970
A0A0G2JVA5	A0A0G2JVA5	ENSRNOG00000052455	LOC100910245	DOID:0050647
A0A0G2JVA8	A0A0G2JVA8	ENSRNOG00000009105	Kb15	DOID:0111710
A0A0G2JVC1	A0A0G2JVC1	ENSRNOG00000006304	Mdm2	DOID:0050625|DOID:11054|DOID:1115|DOID:1612|DOID:1697|DOID:2055|DOID:224|DOID:3068|DOID:3587|DOID:3669|DOID:409|DOID:4947|DOID:4989|DOID:684|DOID:8552|DOID:9119|DOID:9286
A0A0G2JVD9	A0A0G2JVD9	ENSRNOG00000004444	Ikzf1	DOID:0080630|DOID:12177
A0A0G2JVH5	A0A0G2JVH5	ENSRNOG00000000082	Hltf	DOID:3119
A0A0G2JVQ2	A0A0G2JVQ2	ENSRNOG00000018468	Ldb1	DOID:9467
A0A0G2JVS9	A0A0G2JVS9	ENSRNOG00000052814	Ankrd27	DOID:13922
A0A0G2JVW6	A0A0G2JVW6	ENSRNOG00000052444	Samd9	DOID:0080170
A0A0G2JVY4	A0A0G2JVY4	ENSRNOG00000003310	Tmem63a	DOID:0060786
A0A0G2JVZ6	A0A0G2JVZ6	ENSRNOG00000004912	Itgav	DOID:10763|DOID:11382|DOID:326|DOID:4195|DOID:4248|DOID:7693|DOID:9119
A0A0G2JW03	A0A0G2JW03	ENSRNOG00000004377	Lpin1	DOID:11981|DOID:783|DOID:811
A0A0G2JW23	A0A0G2JW23	ENSRNOG00000060745	Nlrp12	DOID:0090063
A0A0G2JW59	A0A0G2JW59	ENSRNOG00000054764	Flt3	DOID:0080630|DOID:10283|DOID:4971|DOID:9119|DOID:9952
A0A0G2JW72	A0A0G2JW72	ENSRNOG00000013428	Atp6v0a4	DOID:14219
A0A0G2JW78	A0A0G2JW78	ENSRNOG00000009972	Rara	DOID:0060318|DOID:332|DOID:3324
A0A0G2JW79	A0A0G2JW79	ENSRNOG00000005747	Il27ra	DOID:418
A0A0G2JWB6	A0A0G2JWB6	ENSRNOG00000060614	Pxdn	DOID:0080612
A0A0G2JWC7	A0A0G2JWC7	ENSRNOG00000009102	Fermt2	DOID:9119
A0A0G2JWD0	A0A0G2JWD0	ENSRNOG00000003098	Prom1	DOID:0110376|DOID:0111019|DOID:8466|DOID:9351
A0A0G2JWD6	A0A0G2JWD6	ENSRNOG00000010624	Ap3b1	DOID:0060540|DOID:1227|DOID:2223|DOID:3082|DOID:3753|DOID:3770
A0A0G2JWE9	A0A0G2JWE9	ENSRNOG00000001652	Erg	DOID:5453|DOID:8398|DOID:8692
A0A0G2JWF0	A0A0G2JWF0	ENSRNOG00000021614	Kmt2e	DOID:0060318|DOID:10283|DOID:12849|DOID:1612|DOID:4362|DOID:526
A0A0G2JWF7	A0A0G2JWF7	ENSRNOG00000019624	Morc2	DOID:0110181
A0A0G2JWG1	A0A0G2JWG1	ENSRNOG00000012055	Man2a2	DOID:5419
A0A0G2JWG6	A0A0G2JWG6	ENSRNOG00000030314	Golgb1	DOID:0111063|DOID:674
A0A0G2JWH3	A0A0G2JWH3	ENSRNOG00000055300	Ncapd2	DOID:0070296
A0A0G2JWL4	A0A0G2JWL4	ENSRNOG00000057945	Fancg	DOID:0050865|DOID:0111086|DOID:13636|DOID:1793
A0A0G2JWM7	A0A0G2JWM7	ENSRNOG00000056251	Ifnl1	DOID:1588|DOID:1883|DOID:2917|DOID:5082
A0A0G2JWR6	A0A0G2JWR6	ENSRNOG00000054879	Zic2	DOID:0110878|DOID:4621
A0A0G2JWT6	A0A0G2JWT6	ENSRNOG00000006539	Pex16	DOID:0080377|DOID:0080483|DOID:905
A0A0G2JWX9	A0A0G2JWX9	ENSRNOG00000060831	Clca1	DOID:1485|DOID:2841|DOID:3083
A0A0G2JWY8	A0A0G2JWY8	ENSRNOG00000013479	Stard7	DOID:0111692
A0A0G2JX01	A0A0G2JX01	ENSRNOG00000014879	Ttc7a	DOID:14671
A0A0G2JX23	A0A0G2JX23	ENSRNOG00000017554	Adam3a	DOID:0060108|DOID:1748
A0A0G2JX31	A0A0G2JX31	ENSRNOG00000019986	Pot1	DOID:3070|DOID:6846
A0A0G2JX72	A0A0G2JX72	ENSRNOG00000014076	Mbnl1	DOID:450|DOID:5419
A0A0G2JX93	A0A0G2JX93	NA	Stat1	DOID:0080745|DOID:0111944|DOID:0111945|DOID:0111946|DOID:10223|DOID:12236|DOID:12297|DOID:12894|DOID:13241|DOID:1577|DOID:1580|DOID:1612|DOID:1884|DOID:2048|DOID:2154|DOID:2526|DOID:2841|DOID:2986|DOID:3083|DOID:3314|DOID:3319|DOID:3459|DOID:3770|DOID:418|DOID:684|DOID:8541|DOID:869|DOID:8704|DOID:8893|DOID:9008|DOID:9074|DOID:9970
A0A0G2JX95	A0A0G2JX95	ENSRNOG00000020792	Etv4	DOID:3312|DOID:9970
A0A0G2JXC5	A0A0G2JXC5	ENSRNOG00000018803	Mrtfa	DOID:0111998|DOID:8761
A0A0G2JXD6	A0A0G2JXD6	ENSRNOG00000017178	Hydin	DOID:0110617
A0A0G2JXH7	A0A0G2JXH7	ENSRNOG00000001120	Med13l	DOID:0060770|DOID:0060771
A0A0G2JXI1	A0A0G2JXI1	ENSRNOG00000057855	F5	DOID:0050864|DOID:0050912|DOID:0060903|DOID:0111902|DOID:10003|DOID:10159|DOID:10591|DOID:10762|DOID:11512|DOID:1612|DOID:1727|DOID:2216|DOID:2237|DOID:2920|DOID:3526|DOID:5082|DOID:5844|DOID:6432|DOID:783|DOID:9477|DOID:999
A0A0G2JXI7	A0A0G2JXI7	ENSRNOG00000022804	Foxp4	DOID:0060038|DOID:6000
A0A0G2JXJ1	A0A0G2JXJ1	ENSRNOG00000008971	Hnf4g	DOID:0050524|DOID:9970
A0A0G2JXP3	A0A0G2JXP3	ENSRNOG00000017610	Nedd4l	DOID:0050454
A0A0G2JXR2	A0A0G2JXR2	ENSRNOG00000020630	Il9r	DOID:1485|DOID:2841
A0A0G2JXT6	MTMR6	ENSRNOG00000012918	Mtmr6	DOID:14717
A0A0G2JXT8	A0A0G2JXT8	ENSRNOG00000009470	Flnb	DOID:0050648|DOID:0050680|DOID:0060564|DOID:0080006|DOID:0090116|DOID:11836|DOID:14764|DOID:2256|DOID:423|DOID:674
A0A0G2JXZ4	A0A0G2JXZ4	ENSRNOG00000045838	Hps1	DOID:0050632|DOID:0060539|DOID:2223
A0A0G2JXZ9	A0A0G2JXZ9	ENSRNOG00000034025	Ptprj	DOID:10763|DOID:9256
A0A0G2JY07	A0A0G2JY07	ENSRNOG00000014336	Mcm5	DOID:0080255|DOID:1574
A0A0G2JY26	A0A0G2JY26	ENSRNOG00000052887	Dnajc6	DOID:0060891|DOID:14330
A0A0G2JY48	A0A0G2JY48	ENSRNOG00000012531	Ephb2	DOID:2218
A0A0G2JY58	A0A0G2JY58	ENSRNOG00000053599	Pogz	DOID:0070067
A0A0G2JY62	A0A0G2JY62	ENSRNOG00000014876	Lpin2	DOID:0080108|DOID:3146|DOID:9970
A0A0G2JYD6	A0A0G2JYD6	ENSRNOG00000012729	Mfsd8	DOID:0110722
A0A0G2JYE6	A0A0G2JYE6	ENSRNOG00000051929	Phox2b	DOID:0060731
A0A0G2JYF9	A0A0G2JYF9	ENSRNOG00000056141	Matn3	DOID:0070299|DOID:2256|DOID:8398
A0A0G2JYI0	A0A0G2JYI0	ENSRNOG00000023453	Lrba	DOID:12177
A0A0G2JYM0	A0A0G2JYM0	ENSRNOG00000059166	Ldb3	DOID:0080095|DOID:0110423|DOID:11720|DOID:11722|DOID:12930
A0A0G2JYU3	A0A0G2JYU3	ENSRNOG00000060105	Astn2	DOID:5419
A0A0G2JYZ1	A0A0G2JYZ1	ENSRNOG00000011059	Ttbk2	DOID:0050961
A0A0G2JZ04	A0A0G2JZ04	ENSRNOG00000052062	Tut4	DOID:1612|DOID:916
A0A0G2JZ71	A0A0G2JZ71	ENSRNOG00000055714	Ak7	DOID:0111928|DOID:10908
A0A0G2JZ79	SIR1	NA	Sirt1	DOID:0080208|DOID:10283|DOID:10652|DOID:11476|DOID:12387|DOID:12858|DOID:14330|DOID:1574|DOID:1826|DOID:1875|DOID:1936|DOID:3021|DOID:3525|DOID:4448|DOID:5844|DOID:9351|DOID:9352|DOID:9452|DOID:9669|DOID:9970
A0A0G2JZ84	A0A0G2JZ84	ENSRNOG00000052894	Epg5	DOID:0060356|DOID:10584|DOID:332
A0A0G2JZA1	A0A0G2JZA1	ENSRNOG00000029598	Robo2	DOID:9620
A0A0G2JZD5	A0A0G2JZD5	ENSRNOG00000017879	Gab1	DOID:0110484
A0A0G2JZE8	A0A0G2JZE8	ENSRNOG00000017561	Toe1	DOID:0060264|DOID:0060276
A0A0G2JZF6	A0A0G2JZF6	ENSRNOG00000055079	Ndufaf2	DOID:0060536
A0A0G2JZG8	A0A0G2JZG8	ENSRNOG00000012140	Cep89	DOID:1289|DOID:3762
A0A0G2JZH0	A0A0G2JZH0	ENSRNOG00000017297	Cab39	DOID:162|DOID:1793|DOID:224|DOID:684|DOID:7998
A0A0G2JZH4	A0A0G2JZH4	ENSRNOG00000008908	Slc35a1	DOID:0070258
A0A0G2JZI2	A0A0G2JZI2	ENSRNOG00000002393	Eprs	DOID:0060786
A0A0G2JZJ3	A0A0G2JZJ3	ENSRNOG00000024737	Tnrc6a	DOID:0111696
A0A0G2JZL2	A0A0G2JZL2	ENSRNOG00000058652	Akp3	DOID:0050589|DOID:8577|DOID:8778
A0A0G2JZL6	A0A0G2JZL6	ENSRNOG00000010952	Ift122	DOID:0050577|DOID:8466
A0A0G2JZP7	A0A0G2JZP7	ENSRNOG00000021954	Spg11	DOID:0060197|DOID:0110176|DOID:0110764
A0A0G2JZS3	A0A0G2JZS3	ENSRNOG00000019662	Tm6sf1	DOID:9452
A0A0G2JZU6	A0A0G2JZU6	ENSRNOG00000016623	Tmeff2	DOID:10283|DOID:11054
A0A0G2JZU8	A0A0G2JZU8	ENSRNOG00000058664	Usp9y	DOID:0070187
A0A0G2JZW4	A0A0G2JZW4	ENSRNOG00000033791	Apc2	DOID:0090131|DOID:14748|DOID:9256
A0A0G2JZX5	A0A0G2JZX5	ENSRNOG00000058975	Iqsec2	DOID:0050776
A0A0G2JZY3	A0A0G2JZY3	ENSRNOG00000059224	Reps1	DOID:0110734
A0A0G2JZZ5	A0A0G2JZZ5	ENSRNOG00000005642	Frs2	DOID:4450
A0A0G2K001	A0A0G2K001	ENSRNOG00000015621	Nsd3	DOID:8692
A0A0G2K014	A0A0G2K014	ENSRNOG00000010319	Lcp1	DOID:12858
A0A0G2K046	A0A0G2K046	ENSRNOG00000000383	Mypn	DOID:0110445|DOID:0110933|DOID:397
A0A0G2K098	A0A0G2K098	ENSRNOG00000011271	Mcc	DOID:9256
A0A0G2K0D3	LMOD1	ENSRNOG00000051548	Lmod1	DOID:0060610
A0A0G2K0H3	A0A0G2K0H3	ENSRNOG00000006338	Lrp6	DOID:0050591|DOID:0080074|DOID:9452
A0A0G2K0J4	A0A0G2K0J4	ENSRNOG00000056907	Nipbl	DOID:0080505
A0A0G2K0K3	A0A0G2K0K3	ENSRNOG00000020541	Nprl3	DOID:2234
A0A0G2K0V6	A0A0G2K0V6	ENSRNOG00000029273	E2f3	DOID:10283|DOID:3070|DOID:3907|DOID:3908|DOID:3910
A0A0G2K0Y2	A0A0G2K0Y2	ENSRNOG00000009052	Igf2bp3	DOID:0050013
A0A0G2K134	A0A0G2K134	ENSRNOG00000052407	Btk	DOID:0050746|DOID:0060875|DOID:14179|DOID:1556|DOID:2583
A0A0G2K142	A0A0G2K142	ENSRNOG00000058755	Tgm5	DOID:0060283
A0A0G2K149	A0A0G2K149	ENSRNOG00000027233	Trpc5	DOID:0110429|DOID:1289
A0A0G2K161	A0A0G2K161	ENSRNOG00000010037	Epb41	DOID:2373
A0A0G2K171	A0A0G2K171	ENSRNOG00000057256	Slc19a3	DOID:0050659|DOID:784
A0A0G2K1A2	A0A0G2K1A2	ENSRNOG00000008310	Mpo	DOID:0080162|DOID:0080348|DOID:1287|DOID:1324|DOID:1485|DOID:1591|DOID:161|DOID:1679|DOID:1793|DOID:2841|DOID:2921|DOID:3021|DOID:3082|DOID:3083|DOID:5082|DOID:684|DOID:783|DOID:850|DOID:865|DOID:874|DOID:9362
A0A0G2K1B6	A0A0G2K1B6	ENSRNOG00000002983	Nf1x	DOID:0050858|DOID:13300|DOID:14748
A0A0G2K1E3	A0A0G2K1E3	ENSRNOG00000055525	Kmt2b	DOID:0050861|DOID:10283|DOID:1612|DOID:543|DOID:684
A0A0G2K1F7	A0A0G2K1F7	ENSRNOG00000059219	Myo15a	DOID:0110488|DOID:10003
A0A0G2K1G8	A0A0G2K1G8	ENSRNOG00000028097	Slc7a14	DOID:0110374
A0A0G2K1K5	A0A0G2K1K5	ENSRNOG00000022482	Trappc11	DOID:0110287|DOID:9452
A0A0G2K1L0	A0A0G2K1L0	ENSRNOG00000058645	Tnc	DOID:0080322|DOID:0110581|DOID:10320|DOID:106|DOID:11204|DOID:13100|DOID:1324|DOID:13406|DOID:2841|DOID:3068|DOID:3070|DOID:3798|DOID:4947|DOID:552|DOID:5844|DOID:6432|DOID:841
A0A0G2K1L6	A0A0G2K1L6	ENSRNOG00000000661	Hps4	DOID:0060542|DOID:2223|DOID:3753|DOID:5419
A0A0G2K1M7	A0A0G2K1M7	ENSRNOG00000006995	Ano6	DOID:0050589|DOID:0111052|DOID:7147
A0A0G2K1P1	A0A0G2K1P1	ENSRNOG00000011420	Mtmr7	DOID:14717
A0A0G2K1P8	A0A0G2K1P8	ENSRNOG00000059015	Triobp	DOID:0110486
A0A0G2K1Q8	ABCA3	ENSRNOG00000050057	Abca3	DOID:0060041|DOID:12120
A0A0G2K1R4	A0A0G2K1R4	ENSRNOG00000053850	Rdh5	DOID:11105|DOID:8499
A0A0G2K1S9	A0A0G2K1S9	ENSRNOG00000060825	Ccm2	DOID:0060670
A0A0G2K1T7	A0A0G2K1T7	ENSRNOG00000001830	Arntl2	DOID:10763|DOID:9352
A0A0G2K1V3	A0A0G2K1V3	ENSRNOG00000002352	Tsen15	DOID:0060264
A0A0G2K1V7	A0A0G2K1V7	ENSRNOG00000002135	Sgcb	DOID:0110279|DOID:9884
A0A0G2K1X3	A0A0G2K1X3	ENSRNOG00000004520	Wdr60	DOID:0110094
A0A0G2K1Z1	A0A0G2K1Z1	ENSRNOG00000052445	Kdm7a	DOID:1909
A0A0G2K210	A0A0G2K210	ENSRNOG00000016818	Fgfr3	DOID:0050331|DOID:0050736|DOID:0050866|DOID:0050920|DOID:0060249|DOID:0060703|DOID:0080001|DOID:0080041|DOID:0111158|DOID:0111160|DOID:0111161|DOID:0111162|DOID:11054|DOID:13481|DOID:1612|DOID:2340|DOID:2671|DOID:2893|DOID:3138|DOID:3371|DOID:3965|DOID:4006|DOID:4480|DOID:5520|DOID:8552|DOID:8649|DOID:9256
A0A0G2K229	A0A0G2K229	ENSRNOG00000008857	Adamts10	DOID:0050475
A0A0G2K250	A0A0G2K250	ENSRNOG00000020927	Tulp2	DOID:9970
A0A0G2K294	A0A0G2K294	ENSRNOG00000016632	Dsg3	DOID:0060851
A0A0G2K2A4	A0A0G2K2A4	ENSRNOG00000055858	Myb	DOID:0050523|DOID:0080630|DOID:224
A0A0G2K2B5	A0A0G2K2B5	ENSRNOG00000007445	Asph	DOID:4947
A0A0G2K2C0	A0A0G2K2C0	ENSRNOG00000057031	Six3	DOID:0110872|DOID:4621
A0A0G2K2F0	A0A0G2K2F0	ENSRNOG00000056208	Catsper1	DOID:0070173
A0A0G2K2H4	A0A0G2K2H4	ENSRNOG00000012864	Ern1	DOID:684|DOID:8557
A0A0G2K2I0	A0A0G2K2I0	ENSRNOG00000058663	Suz12	DOID:0080016
A0A0G2K2M9	A0A0G2K2M9	ENSRNOG00000058561	Srrm2	DOID:14330
A0A0G2K2N3	A0A0G2K2N3	ENSRNOG00000015488	Tead1	DOID:0111228
A0A0G2K2P5	ZO1	ENSRNOG00000011077	Tjp1	DOID:13141|DOID:13580|DOID:13976|DOID:2316|DOID:4606|DOID:4948|DOID:8677|DOID:936
A0A0G2K2Q8	A0A0G2K2Q8	ENSRNOG00000000552	Col13a1	DOID:0110673
A0A0G2K2R5	A0A0G2K2R5	ENSRNOG00000020587	Efemp2	DOID:0070133|DOID:3144|DOID:3627
A0A0G2K2U9	A0A0G2K2U9	ENSRNOG00000016225	Fgd3	DOID:0110192|DOID:10595|DOID:6683
A0A0G2K2Y2	A0A0G2K2Y2	ENSRNOG00000002537	Wnk3	DOID:4479
A0A0G2K309	ORNT1	ENSRNOG00000011881	Slc25a15	DOID:0050720|DOID:9252|DOID:9273
